Year,Units,X,Value
2010,a) Children and youths in grades 2/3 with a minimum proficiency level (%),mathematics,
2011,a) Children and youths in grades 2/3 with a minimum proficiency level (%),mathematics,
2012,a) Children and youths in grades 2/3 with a minimum proficiency level (%),mathematics,97.0
2013,a) Children and youths in grades 2/3 with a minimum proficiency level (%),mathematics,
2014,a) Children and youths in grades 2/3 with a minimum proficiency level (%),mathematics,
2015,a) Children and youths in grades 2/3 with a minimum proficiency level (%),mathematics,97.4
2016,a) Children and youths in grades 2/3 with a minimum proficiency level (%),mathematics,
2017,a) Children and youths in grades 2/3 with a minimum proficiency level (%),mathematics,
2018,a) Children and youths in grades 2/3 with a minimum proficiency level (%),mathematics,
2010,a) Children and youths in grades 2/3 with a minimum proficiency level (%),reading,
2011,a) Children and youths in grades 2/3 with a minimum proficiency level (%),reading,
2012,a) Children and youths in grades 2/3 with a minimum proficiency level (%),reading,97.1
2013,a) Children and youths in grades 2/3 with a minimum proficiency level (%),reading
2014,a) Children and youths in grades 2/3 with a minimum proficiency level (%),reading,
2015,a) Children and youths in grades 2/3 with a minimum proficiency level (%),reading,96.2
2016,a) Children and youths in grades 2/3 with a minimum proficiency level (%),reading,
2017,a) Children and youths in grades 2/3 with a minimum proficiency level (%),reading,
2018,a) Children and youths in grades 2/3 with a minimum proficiency level (%),reading,
2010,c) Children and youths at the end of lower secondary education with a minimum proficiency level (%),mathematics,
2011,c) Children and youths at the end of lower secondary education with a minimum proficiency level (%),mathematics,
2012,c) Children and youths at the end of lower secondary education with a minimum proficiency level (%),mathematics,82.3
2013,c) Children and youths at the end of lower secondary education with a minimum proficiency level (%),mathematics,
2014,c) Children and youths at the end of lower secondary education with a minimum proficiency level (%),mathematics,
2015,c) Children and youths at the end of lower secondary education with a minimum proficiency level (%),mathematics,82.8
2016,c) Children and youths at the end of lower secondary education with a minimum proficiency level (%),mathematics,
2017,c) Children and youths at the end of lower secondary education with a minimum proficiency level (%),mathematics,
2018,c) Children and youths at the end of lower secondary education with a minimum proficiency level (%),mathematics,
2010,c) Children and youths at the end of lower secondary education with a minimum proficiency level (%),reading,
2011,c) Children and youths at the end of lower secondary education with a minimum proficiency level (%),reading,
2012,c) Children and youths at the end of lower secondary education with a minimum proficiency level (%),reading,85.5
2013,c) Children and youths at the end of lower secondary education with a minimum proficiency level (%),reading,
2014,c) Children and youths at the end of lower secondary education with a minimum proficiency level (%),reading,
2015,c) Children and youths at the end of lower secondary education with a minimum proficiency level (%),reading,83.5
2016,c) Children and youths at the end of lower secondary education with a minimum proficiency level (%),reading,
2017,c) Children and youths at the end of lower secondary education with a minimum proficiency level (%),reading,
2018,c) Children and youths at the end of lower secondary education with a minimum proficiency level (%),reading,
