Year,Units,timeseries,region,GeoCode,Value
2013,%,seats held by women in national parliament,,,36.3
2017,%,seats held by women in national parliament,,,30.7
2011,%,seats held by women in the parliament of:,baden-wuerttemberg,08,18.1
2016,%,seats held by women in the parliament of:,baden-wuerttemberg,08,24.5
2013,%,seats held by women in the parliament of:,bavaria,09,29.4
2018,%,seats held by women in the parliament of:,bavaria,09,26.8
2011,%,seats held by women in the parliament of:,berlin,11,34.9
2016,%,seats held by women in the parliament of:,berlin,11,33.1
2014,%,seats held by women in the parliament of:,brandenburg,12,34.1
2011,%,seats held by women in the parliament of:,bremen,04,43.4
2015,%,seats held by women in the parliament of:,bremen,04,33.7
2011,%,seats held by women in the parliament of:,hamburg,02,38.8
2015,%,seats held by women in the parliament of:,hamburg,02,38.8
2013,%,seats held by women in the parliament of:,hesse,06,31.8
2018,%,seats held by women in the parliament of:,hesse,06,33.6
2013,%,seats held by women in the parliament of:,lower saxony,03,29.2
2017,%,seats held by women in the parliament of:,lower saxony,03,27.7
2011,%,seats held by women in the parliament of:,mecklenburg western pomerania,13,28.2
2016,%,seats held by women in the parliament of:,mecklenburg western pomerania,13,25.4
2010,%,seats held by women in the parliament of:,north rhine-westphalia,05,27.1
2012,%,seats held by women in the parliament of:,north rhine-westphalia,05,30.0
2017,%,seats held by women in the parliament of:,north rhine-westphalia,05,27.1
2011,%,seats held by women in the parliament of:,rhineland palatinate,07,41.6
2016,%,seats held by women in the parliament of:,rhineland palatinate,07,35.6
2012,%,seats held by women in the parliament of:,saarland,10,39.2
2017,%,seats held by women in the parliament of:,saarland,10,35.3
2014,%,seats held by women in the parliament of:,saxony,14,31.7
2011,%,seats held by women in the parliament of:,saxony-anhalt,15,31.4
2016,%,seats held by women in the parliament of:,saxony-anhalt,15,26.4
2012,%,seats held by women in the parliament of:,schleswig-holstein,01,31.9
2017,%,seats held by women in the parliament of:,schleswig-holstein,01,30.1
2014,%,seats held by women in the parliament of:,thuringia,16,38.5
