Year,Units,Value
2010,manufacturing gross value added as a proportion of gdp (%),20.0
2011,manufacturing gross value added as a proportion of gdp (%),20.6
2012,manufacturing gross value added as a proportion of gdp (%),20.4
2013,manufacturing gross value added as a proportion of gdp (%),20.2
2014,manufacturing gross value added as a proportion of gdp (%),20.5
2015,manufacturing gross value added as a proportion of gdp (%),20.7
2016,manufacturing gross value added as a proportion of gdp (%),21.1
2017,manufacturing gross value added as a proportion of gdp (%),21.1
2018,manufacturing gross value added as a proportion of gdp (%),20.8
2010,manufacturing gross value added as a proportion of total gross value added (%),22.2
2011,manufacturing gross value added as a proportion of total gross value added (%),22.9
2012,manufacturing gross value added as a proportion of total gross value added (%),22.7
2013,manufacturing gross value added as a proportion of total gross value added (%),22.4
2014,manufacturing gross value added as a proportion of total gross value added (%),22.7
2015,manufacturing gross value added as a proportion of total gross value added (%),23.0
2016,manufacturing gross value added as a proportion of total gross value added (%),23.4
2017,manufacturing gross value added as a proportion of total gross value added (%),23.4
2018,manufacturing gross value added as a proportion of total gross value added (%),23.1
2010,manufacturing gross value added per capita (eur),6417
2011,manufacturing gross value added per capita (eur),6926
2012,manufacturing gross value added per capita (eur),7004
2013,manufacturing gross value added per capita (eur),7073
2014,manufacturing gross value added per capita (eur),7427
2015,manufacturing gross value added per capita (eur),7721
2016,manufacturing gross value added per capita (eur),8091
2017,manufacturing gross value added per capita (eur),8350
2018,manufacturing gross value added per capita (eur),8507
