Year,Units,Value
2010,Total female persons in employment (%),46
2011,Total female persons in employment (%),46
2012,Total female persons in employment (%),46
2013,Total female persons in employment (%),47
2014,Total female persons in employment (%),47
2015,Total female persons in employment (%),47
2016,Total female persons in employment (%),47
2017,Total female persons in employment (%),47
2018,Total female persons in employment (%),
2010,Female Employees in public sector (%),52
2011,Female Employees in public sector (%),53
2012,Female Employees in public sector (%),53
2013,Female Employees in public sector (%),54
2014,Female Employees in public sector (%),54
2015,Female Employees in public sector (%),55
2016,Female Employees in public sector (%),55
2017,Female Employees in public sector (%),
2018,Female Employees in public sector (%),
