Year,Units,Value
2010,persons employed in accommodation (1 000),1895
2011,persons employed in accommodation (1 000),1979
2012,persons employed in accommodation (1 000),1989
2013,persons employed in accommodation (1 000),1898
2014,persons employed in accommodation (1 000),2085
2015,persons employed in accommodation (1 000),2173
2016,persons employed in accommodation (1 000),2301
2017,persons employed in accommodation (1 000),
2018,persons employed in accommodation (1 000),
2010,persons employed in tourism industries (1 000),2859
2011,persons employed in tourism industries (1 000),
2012,persons employed in tourism industries (1 000),
2013,persons employed in tourism industries (1 000),
2014,persons employed in tourism industries (1 000),
2015,persons employed in tourism industries (1 000),2919
2016,persons employed in tourism industries (1 000),
2017,persons employed in tourism industries (1 000),
2018,persons employed in tourism industries (1 000),
