Year,Units,Type of flow,Value
2010,"Total Official and Private Flows (net disbursements) (Mn USD, constant prices (2016))",,38279.57
2011,"Total Official and Private Flows (net disbursements) (Mn USD, constant prices (2016))",,48694.43
2012,"Total Official and Private Flows (net disbursements) (Mn USD, constant prices (2016))",,32046.44
2013,"Total Official and Private Flows (net disbursements) (Mn USD, constant prices (2016))",,46532.85
2014,"Total Official and Private Flows (net disbursements) (Mn USD, constant prices (2016))",,45664.13
2015,"Total Official and Private Flows (net disbursements) (Mn USD, constant prices (2016))",,48113.81
2016,"Total Official and Private Flows (net disbursements) (Mn USD, constant prices (2016))",,49198.57
2017,"Total Official and Private Flows (net disbursements) (Mn USD, constant prices (2016))",,47838.14
2018,"Total Official and Private Flows (net disbursements) (Mn USD, constant prices (2016))",,
2010,,"Non-Governmental Organisations Flows (net disbursements) (Mn USD, constant prices (2016))",1345.86
2011,,"Non-Governmental Organisations Flows (net disbursements) (Mn USD, constant prices (2016))",1384.26
2012,,"Non-Governmental Organisations Flows (net disbursements) (Mn USD, constant prices (2016))",1291.45
2013,,"Non-Governmental Organisations Flows (net disbursements) (Mn USD, constant prices (2016))",1240.61
2014,,"Non-Governmental Organisations Flows (net disbursements) (Mn USD, constant prices (2016))",1312.80
2015,,"Non-Governmental Organisations Flows (net disbursements) (Mn USD, constant prices (2016))",1395.11
2016,,"Non-Governmental Organisations Flows (net disbursements) (Mn USD, constant prices (2016))",1423.65
2017,,"Non-Governmental Organisations Flows (net disbursements) (Mn USD, constant prices (2016))",1439.46
2018,,"Non-Governmental Organisations Flows (net disbursements) (Mn USD, constant prices (2016))",
2010,,"ODA (net disbursements) (Mn USD, constant prices (2016))",11938.38
2011,,"ODA (net disbursements) (Mn USD, constant prices (2016))",12210.31
2012,,"ODA (net disbursements) (Mn USD, constant prices (2016))",11944.21
2013,,"ODA (net disbursements) (Mn USD, constant prices (2016))",12469.48
2014,,"ODA (net disbursements) (Mn USD, constant prices (2016))",14272.37
2015,,"ODA (net disbursements) (Mn USD, constant prices (2016))",18123.69
2016,,"ODA (net disbursements) (Mn USD, constant prices (2016))",24735.69
2017,,"ODA (net disbursements) (Mn USD, constant prices (2016))",24157.03
2018,,"ODA (net disbursements) (Mn USD, constant prices (2016))",
2010,,"OOF (net disbursements) (Mn USD, constant prices (2016))",62.59
2011,,"OOF (net disbursements) (Mn USD, constant prices (2016))",-124.90
2012,,"OOF (net disbursements) (Mn USD, constant prices (2016))",-84.03
2013,,"OOF (net disbursements) (Mn USD, constant prices (2016))",-74.54
2014,,"OOF (net disbursements) (Mn USD, constant prices (2016))",131.98
2015,,"OOF (net disbursements) (Mn USD, constant prices (2016))",1338.22
2016,,"OOF (net disbursements) (Mn USD, constant prices (2016))",-458.10
2017,,"OOF (net disbursements) (Mn USD, constant prices (2016))",-344.48
2018,,"OOF (net disbursements) (Mn USD, constant prices (2016))",
2010,,"Officially Supported Export Credits (net disbursements) (Mn USD, constant prices (2016))",3408.32
2011,,"Officially Supported Export Credits (net disbursements) (Mn USD, constant prices (2016))",8905.46
2012,,"Officially Supported Export Credits (net disbursements) (Mn USD, constant prices (2016))",5789.61
2013,,"Officially Supported Export Credits (net disbursements) (Mn USD, constant prices (2016))",4750.81
2014,,"Officially Supported Export Credits (net disbursements) (Mn USD, constant prices (2016))",-138.29
2015,,"Officially Supported Export Credits (net disbursements) (Mn USD, constant prices (2016))",1885.25
2016,,"Officially Supported Export Credits (net disbursements) (Mn USD, constant prices (2016))",3449.52
2017,,"Officially Supported Export Credits (net disbursements) (Mn USD, constant prices (2016))",6.12
2018,,"Officially Supported Export Credits (net disbursements) (Mn USD, constant prices (2016))",
2010,,"Private Sector Flows (net disbursements) (Mn USD, constant prices (2016))",21524.43
2011,,"Private Sector Flows (net disbursements) (Mn USD, constant prices (2016))",26319.31
2012,,"Private Sector Flows (net disbursements) (Mn USD, constant prices (2016))",13105.20
2013,,"Private Sector Flows (net disbursements) (Mn USD, constant prices (2016))",28146.48
2014,,"Private Sector Flows (net disbursements) (Mn USD, constant prices (2016))",30085.27
2015,,"Private Sector Flows (net disbursements) (Mn USD, constant prices (2016))",25371.55
2016,,"Private Sector Flows (net disbursements) (Mn USD, constant prices (2016))",20047.81
2017,,"Private Sector Flows (net disbursements) (Mn USD, constant prices (2016))",22580.00
2018,,"Private Sector Flows (net disbursements) (Mn USD, constant prices (2016))",
