Year,Units,timeseries,Value
2010,2016,"oda and oof (commitments) of all resources made available to strengthen statistical capacity in developing countries (mn usd, constant prices",2.35
2011,2016,"oda and oof (commitments) of all resources made available to strengthen statistical capacity in developing countries (mn usd, constant prices",2.95
2012,2016,"oda and oof (commitments) of all resources made available to strengthen statistical capacity in developing countries (mn usd, constant prices",3.68
2013,2016,"oda and oof (commitments) of all resources made available to strengthen statistical capacity in developing countries (mn usd, constant prices",11.73
2014,2016,"oda and oof (commitments) of all resources made available to strengthen statistical capacity in developing countries (mn usd, constant prices",0.06
2015,2016,"oda and oof (commitments) of all resources made available to strengthen statistical capacity in developing countries (mn usd, constant prices",0.06
2016,2016,"oda and oof (commitments) of all resources made available to strengthen statistical capacity in developing countries (mn usd, constant prices",0.07
2017,2016,"oda and oof (commitments) of all resources made available to strengthen statistical capacity in developing countries (mn usd, constant prices",2.48
2010,2016,"oda and oof (gross disbursements) of all resources made available to strengthen statistical capacity in developing countries (mn usd, constant prices",3.21
2011,2016,"oda and oof (gross disbursements) of all resources made available to strengthen statistical capacity in developing countries (mn usd, constant prices",3.96
2012,2016,"oda and oof (gross disbursements) of all resources made available to strengthen statistical capacity in developing countries (mn usd, constant prices",2.14
2013,2016,"oda and oof (gross disbursements) of all resources made available to strengthen statistical capacity in developing countries (mn usd, constant prices",12.39
2014,2016,"oda and oof (gross disbursements) of all resources made available to strengthen statistical capacity in developing countries (mn usd, constant prices",0.12
2015,2016,"oda and oof (gross disbursements) of all resources made available to strengthen statistical capacity in developing countries (mn usd, constant prices",0.03
2016,2016,"oda and oof (gross disbursements) of all resources made available to strengthen statistical capacity in developing countries (mn usd, constant prices",0.06
2017,2016,"oda and oof (gross disbursements) of all resources made available to strengthen statistical capacity in developing countries (mn usd, constant prices",0.09
