Year,Units,region,GeoCode,Value
2010,proportion of r&d expenditures to gdp (%),,,2.7
2011,proportion of r&d expenditures to gdp (%),,,2.8
2012,proportion of r&d expenditures to gdp (%),,,2.9
2013,proportion of r&d expenditures to gdp (%),,,2.8
2014,proportion of r&d expenditures to gdp (%),,,2.9
2015,proportion of r&d expenditures to gdp (%),,,2.9
2016,proportion of r&d expenditures to gdp (%),,,2.9
2017,proportion of r&d expenditures to gdp (%),,,3.0
2010,proportion of r&d expenditures to gdp (%),baden-wuerttemberg,2,4.42926808279665
2011,proportion of r&d expenditures to gdp (%),baden-wuerttemberg,2,4.79665913244731
2012,proportion of r&d expenditures to gdp (%),baden-wuerttemberg,2,4.91563734495782
2013,proportion of r&d expenditures to gdp (%),baden-wuerttemberg,2,4.77326951630637
2014,proportion of r&d expenditures to gdp (%),baden-wuerttemberg,2,4.90925414346172
2015,proportion of r&d expenditures to gdp (%),baden-wuerttemberg,2,4.93933173616955
2016,proportion of r&d expenditures to gdp (%),baden-wuerttemberg,2,4.92
2010,proportion of r&d expenditures to gdp (%),bavaria,33,3.02585023259919
2011,proportion of r&d expenditures to gdp (%),bavaria,33,3.00072086965266
2012,proportion of r&d expenditures to gdp (%),bavaria,33,3.09820125057356
2013,proportion of r&d expenditures to gdp (%),bavaria,33,3.13316177500831
2014,proportion of r&d expenditures to gdp (%),bavaria,33,3.16861790445461
2015,proportion of r&d expenditures to gdp (%),bavaria,33,3.16564118499182
2016,proportion of r&d expenditures to gdp (%),bavaria,33,3.17
2010,proportion of r&d expenditures to gdp (%),berlin,11,3.42760889772759
2011,proportion of r&d expenditures to gdp (%),berlin,11,3.33750764870926
2012,proportion of r&d expenditures to gdp (%),berlin,11,3.43358853135013
2013,proportion of r&d expenditures to gdp (%),berlin,11,3.56258849479428
2014,proportion of r&d expenditures to gdp (%),berlin,11,3.6463835279249
2015,proportion of r&d expenditures to gdp (%),berlin,11,3.56238789560407
2016,proportion of r&d expenditures to gdp (%),berlin,11,3.49
2010,proportion of r&d expenditures to gdp (%),brandenburg,7,1.41955174792905
2011,proportion of r&d expenditures to gdp (%),brandenburg,7,1.6540319756926
2012,proportion of r&d expenditures to gdp (%),brandenburg,7,1.65209452864756
2013,proportion of r&d expenditures to gdp (%),brandenburg,7,1.54213081172429
2014,proportion of r&d expenditures to gdp (%),brandenburg,7,1.58391472786128
2015,proportion of r&d expenditures to gdp (%),brandenburg,7,1.64655356106293
2016,proportion of r&d expenditures to gdp (%),brandenburg,7,1.73
2010,proportion of r&d expenditures to gdp (%),bremen,5,2.63665412530188
2011,proportion of r&d expenditures to gdp (%),bremen,5,2.71836908121119
2012,proportion of r&d expenditures to gdp (%),bremen,5,2.61531931407829
2013,proportion of r&d expenditures to gdp (%),bremen,5,2.71094913782267
2014,proportion of r&d expenditures to gdp (%),bremen,5,2.85215227456714
2015,proportion of r&d expenditures to gdp (%),bremen,5,2.80032062729467
2016,proportion of r&d expenditures to gdp (%),bremen,5,2.84
2010,proportion of r&d expenditures to gdp (%),hamburg,23,2.08532935699702
2011,proportion of r&d expenditures to gdp (%),hamburg,23,2.19016544804938
2012,proportion of r&d expenditures to gdp (%),hamburg,23,2.2423115684906
2013,proportion of r&d expenditures to gdp (%),hamburg,23,2.2536576622808
2014,proportion of r&d expenditures to gdp (%),hamburg,23,2.34843279339937
2015,proportion of r&d expenditures to gdp (%),hamburg,23,2.240644858149
2016,proportion of r&d expenditures to gdp (%),hamburg,23,2.22
2010,proportion of r&d expenditures to gdp (%),hesse,6,2.98240844332421
2011,proportion of r&d expenditures to gdp (%),hesse,6,2.90019778465375
2012,proportion of r&d expenditures to gdp (%),hesse,6,3.01416227138444
2013,proportion of r&d expenditures to gdp (%),hesse,6,2.81030419718511
2014,proportion of r&d expenditures to gdp (%),hesse,6,2.87656389222736
2015,proportion of r&d expenditures to gdp (%),hesse,6,2.82387955383674
2016,proportion of r&d expenditures to gdp (%),hesse,6,2.88
2010,proportion of r&d expenditures to gdp (%),lower saxony,8,2.56808458492327
2011,proportion of r&d expenditures to gdp (%),lower saxony,8,2.74230411805037
2012,proportion of r&d expenditures to gdp (%),lower saxony,8,2.79333012727938
2013,proportion of r&d expenditures to gdp (%),lower saxony,8,2.85844573230929
2014,proportion of r&d expenditures to gdp (%),lower saxony,8,2.91483075957623
2015,proportion of r&d expenditures to gdp (%),lower saxony,8,3.45419173527716
2016,proportion of r&d expenditures to gdp (%),lower saxony,8,3.31
2010,proportion of r&d expenditures to gdp (%),mecklenburg western pomerania,9,1.97007707593006
2011,proportion of r&d expenditures to gdp (%),mecklenburg western pomerania,9,2.04800583441499
2012,proportion of r&d expenditures to gdp (%),mecklenburg western pomerania,9,2.09721634289095
2013,proportion of r&d expenditures to gdp (%),mecklenburg western pomerania,9,1.80091538485864
2014,proportion of r&d expenditures to gdp (%),mecklenburg western pomerania,9,1.87781252607161
2015,proportion of r&d expenditures to gdp (%),mecklenburg western pomerania,9,1.87383525100519
2016,proportion of r&d expenditures to gdp (%),mecklenburg western pomerania,9,1.85
2010,proportion of r&d expenditures to gdp (%),north rhine-westphalia,3,1.94358618185796
2011,proportion of r&d expenditures to gdp (%),north rhine-westphalia,3,1.96267480389281
2012,proportion of r&d expenditures to gdp (%),north rhine-westphalia,3,2.04393775177843
2013,proportion of r&d expenditures to gdp (%),north rhine-westphalia,3,1.92785027993425
2014,proportion of r&d expenditures to gdp (%),north rhine-westphalia,3,1.98787223069899
2015,proportion of r&d expenditures to gdp (%),north rhine-westphalia,3,1.95601463493232
2016,proportion of r&d expenditures to gdp (%),north rhine-westphalia,3,1.98
