Year,Economic Activity Aggregate,Value
2010,,59
2011,,59
2012,,59
2013,,59
2014,,61
2015,,61
2016,,61
2017,,
2018,,
2010,Gross value added of high-tech industries to total manufacturing value added,10
2011,Gross value added of high-tech industries to total manufacturing value added,10
2012,Gross value added of high-tech industries to total manufacturing value added,10
2013,Gross value added of high-tech industries to total manufacturing value added,10
2014,Gross value added of high-tech industries to total manufacturing value added,10
2015,Gross value added of high-tech industries to total manufacturing value added,10
2016,Gross value added of high-tech industries to total manufacturing value added,10
2017,Gross value added of high-tech industries to total manufacturing value added,
2018,Gross value added of high-tech industries to total manufacturing value added,
2010,Gross value added of medium-high-tech industries to total manufacturing value added,49
2011,Gross value added of medium-high-tech industries to total manufacturing value added,50
2012,Gross value added of medium-high-tech industries to total manufacturing value added,50
2013,Gross value added of medium-high-tech industries to total manufacturing value added,50
2014,Gross value added of medium-high-tech industries to total manufacturing value added,51
2015,Gross value added of medium-high-tech industries to total manufacturing value added,51
2016,Gross value added of medium-high-tech industries to total manufacturing value added,51
2017,Gross value added of medium-high-tech industries to total manufacturing value added,
2018,Gross value added of medium-high-tech industries to total manufacturing value added,
