Year,Units,Form of exploitation,Sex,Age,Value
2010,Victims of human trafficking (per 100 000 inhabitants),,,,0.81
2011,Victims of human trafficking (per 100 000 inhabitants),,,,0.84
2012,Victims of human trafficking (per 100 000 inhabitants),,,,0.78
2013,Victims of human trafficking (per 100 000 inhabitants),,,,0.75
2014,Victims of human trafficking (per 100 000 inhabitants),,,,0.72
2015,Victims of human trafficking (per 100 000 inhabitants),,,,0.57
2016,Victims of human trafficking (per 100 000 inhabitants),,,,0.65
2017,Victims of human trafficking (per 100 000 inhabitants),,,,0.81
2018,Victims of human trafficking (per 100 000 inhabitants),,,,
2010,Victims of human trafficking (Number),,,,651
2011,Victims of human trafficking (Number),,,,672
2012,Victims of human trafficking (Number),,,,626
2013,Victims of human trafficking (Number),,,,603
2014,Victims of human trafficking (Number),,,,583
2015,Victims of human trafficking (Number),,,,470
2016,Victims of human trafficking (Number),,,,536
2017,Victims of human trafficking (Number),,,,669
2018,Victims of human trafficking (Number),,,,
2010,,Exploitation of labour (per 100 000 inhabitants),,,0.05
2011,,Exploitation of labour (per 100 000 inhabitants),,,0.04
2012,,Exploitation of labour (per 100 000 inhabitants),,,0.02
2013,,Exploitation of labour (per 100 000 inhabitants),,,0.08
2014,,Exploitation of labour (per 100 000 inhabitants),,,0.03
2015,,Exploitation of labour (per 100 000 inhabitants),,,0.07
2016,,Exploitation of labour (per 100 000 inhabitants),,,0.06
2017,,Exploitation of labour (per 100 000 inhabitants),,,0.22
2018,,Exploitation of labour (per 100 000 inhabitants),,,
2010,,Sexual exploitation (per 100 000 inhabitants),,,0.76
2011,,Sexual exploitation (per 100 000 inhabitants),,,0.80
2012,,Sexual exploitation (per 100 000 inhabitants),,,0.76
2013,,Sexual exploitation (per 100 000 inhabitants),,,0.67
2014,,Sexual exploitation (per 100 000 inhabitants),,,0.69
2015,,Sexual exploitation (per 100 000 inhabitants),,,0.51
2016,,Sexual exploitation (per 100 000 inhabitants),,,0.59
2017,,Sexual exploitation (per 100 000 inhabitants),,,0.59
2018,,Sexual exploitation (per 100 000 inhabitants),,,
2010,,Exploitation of labour (Number),,,41
2011,,Exploitation of labour (Number),,,32
2012,,Exploitation of labour (Number),,,14
2013,,Exploitation of labour (Number),,,61
2014,,Exploitation of labour (Number),,,26
2015,,Exploitation of labour (Number),,,54
2016,,Exploitation of labour (Number),,,48
2017,,Exploitation of labour (Number),,,180
2018,,Exploitation of labour (Number),,,
2010,,Sexual exploitation (Number),,,610
2011,,Sexual exploitation (Number),,,640
2012,,Sexual exploitation (Number),,,612
2013,,Sexual exploitation (Number),,,542
2014,,Sexual exploitation (Number),,,557
2015,,Sexual exploitation (Number),,,416
2016,,Sexual exploitation (Number),,,488
2017,,Sexual exploitation (Number),,,489
2018,,Sexual exploitation (Number),,,
2010,,Sexual exploitation,female (%),,96
2011,,Sexual exploitation,female (%),,94
2012,,Sexual exploitation,female (%),,96
2013,,Sexual exploitation,female (%),,96
2014,,Sexual exploitation,female (%),,95
2015,,Sexual exploitation,female (%),,96
2016,,Sexual exploitation,female (%),,95
2017,,Sexual exploitation,female (%),,99
2018,,Sexual exploitation,female (%),,
2010,,Sexual exploitation,male (%),,4
2011,,Sexual exploitation,male (%),,6
