Year,Units,Sex,Age,Disability,Value
2010,Population that has convenient access to public transport (%),,,,94.3
2011,Population that has convenient access to public transport (%),,,,94.0
2012,Population that has convenient access to public transport (%),,,,94.4
2013,Population that has convenient access to public transport (%),,,,92.8
2014,Population that has convenient access to public transport (%),,,,94.3
2015,Population that has convenient access to public transport (%),,,,93.6
2016,Population that has convenient access to public transport (%),,,,93.6
2017,Population that has convenient access to public transport (%),,,,94.2
2018,Population that has convenient access to public transport (%),,,,
2010,Population that has convenient access to public transport (%),female,,,93.2
2011,Population that has convenient access to public transport (%),female,,,94.2
2012,Population that has convenient access to public transport (%),female,,,94.5
2013,Population that has convenient access to public transport (%),female,,,92.5
2014,Population that has convenient access to public transport (%),female,,,94.6
2015,Population that has convenient access to public transport (%),female,,,93.8
2016,Population that has convenient access to public transport (%),female,,,93.6
2017,Population that has convenient access to public transport (%),female,,,94.4
2018,Population that has convenient access to public transport (%),female,,,
2010,Population that has convenient access to public transport (%),male,,,95.6
2011,Population that has convenient access to public transport (%),male,,,93.7
2012,Population that has convenient access to public transport (%),male,,,94.4
2013,Population that has convenient access to public transport (%),male,,,93.2
2014,Population that has convenient access to public transport (%),male,,,94.0
2015,Population that has convenient access to public transport (%),male,,,93.4
2016,Population that has convenient access to public transport (%),male,,,93.6
2017,Population that has convenient access to public transport (%),male,,,94.0
2018,Population that has convenient access to public transport (%),male,,,
2010,Population that has convenient access to public transport (%),,under 18 years,,97.5
2011,Population that has convenient access to public transport (%),,under 18 years,,98.4
2012,Population that has convenient access to public transport (%),,under 18 years,,96.7
2013,Population that has convenient access to public transport (%),,under 18 years,,89.5
2014,Population that has convenient access to public transport (%),,under 18 years,,96.3
2015,Population that has convenient access to public transport (%),,under 18 years,,98.1
2016,Population that has convenient access to public transport (%),,under 18 years,,95.8
2017,Population that has convenient access to public transport (%),,under 18 years,,95.6
2018,Population that has convenient access to public transport (%),,under 18 years,,
2010,Population that has convenient access to public transport (%),,18 to under 30 years,,97.7
2011,Population that has convenient access to public transport (%),,18 to under 30 years,,96.1
2012,Population that has convenient access to public transport (%),,18 to under 30 years,,94.6
2013,Population that has convenient access to public transport (%),,18 to under 30 years,,94.8
2014,Population that has convenient access to public transport (%),,18 to under 30 years,,97.1
2015,Population that has convenient access to public transport (%),,18 to under 30 years,,96.7
2016,Population that has convenient access to public transport (%),,18 to under 30 years,,96.7
2017,Population that has convenient access to public transport (%),,18 to under 30 years,,95.4
2018,Population that has convenient access to public transport (%),,18 to under 30 years,,
2010,Population that has convenient access to public transport (%),,30 to under 45 years,,95.2
2011,Population that has convenient access to public transport (%),,30 to under 45 years,,96.2
2012,Population that has convenient access to public transport (%),,30 to under 45 years,,97.8
2013,Population that has convenient access to public transport (%),,30 to under 45 years,,96.2
2014,Population that has convenient access to public transport (%),,30 to under 45 years,,94.1
2015,Population that has convenient access to public transport (%),,30 to under 45 years,,92.9
2016,Population that has convenient access to public transport (%),,30 to under 45 years,,96.1
2017,Population that has convenient access to public transport (%),,30 to under 45 years,,96.1
2018,Population that has convenient access to public transport (%),,30 to under 45 years,,
2010,Population that has convenient access to public transport (%),,45 to under 65 years,,93.2
2011,Population that has convenient access to public transport (%),,45 to under 65 years,,93.8
2012,Population that has convenient access to public transport (%),,45 to under 65 years,,93.8
2013,Population that has convenient access to public transport (%),,45 to under 65 years,,92.9
2014,Population that has convenient access to public transport (%),,45 to under 65 years,,94.2
2015,Population that has convenient access to public transport (%),,45 to under 65 years,,92.7
2016,Population that has convenient access to public transport (%),,45 to under 65 years,,92.6
2017,Population that has convenient access to public transport (%),,45 to under 65 years,,94.0
2018,Population that has convenient access to public transport (%),,45 to under 65 years,,
2010,Population that has convenient access to public transport (%),,65 years and over,,92.1
2011,Population that has convenient access to public transport (%),,65 years and over,,89.6
2012,Population that has convenient access to public transport (%),,65 years and over,,91.7
2013,Population that has convenient access to public transport (%),,65 years and over,,90.0
2014,Population that has convenient access to public transport (%),,65 years and over,,92.4
2015,Population that has convenient access to public transport (%),,65 years and over,,92.2
2016,Population that has convenient access to public transport (%),,65 years and over,,90.5
2017,Population that has convenient access to public transport (%),,65 years and over,,91.6
2018,Population that has convenient access to public transport (%),,65 years and over,,
2010,Population that has convenient access to public transport (%),,,mobility impaired people,93.3
2011,Population that has convenient access to public transport (%),,,mobility impaired people,91.6
2012,Population that has convenient access to public transport (%),,,mobility impaired people,92.7
2013,Population that has convenient access to public transport (%),,,mobility impaired people,90.2
2014,Population that has convenient access to public transport (%),,,mobility impaired people,95.2
2015,Population that has convenient access to public transport (%),,,mobility impaired people,91.5
2016,Population that has convenient access to public transport (%),,,mobility impaired people,91.3
2017,Population that has convenient access to public transport (%),,,mobility impaired people,92.2
2018,Population that has convenient access to public transport (%),,,mobility impaired people,
