Year,Units,test,Value
2010,test,Married girls under 18 years (%),0
2011,test,Married girls under 18 years (%),0
2012,test,Married girls under 18 years (%),0
2013,test,Married girls under 18 years (%),0
2014,test,Married girls under 18 years (%),0
2015,test,Married girls under 18 years (%),0
2016,test,Married girls under 18 years (%),0
2017,test,Married girls under 18 years (%),0
2018,test,Married girls under 18 years (%),
2010,test,Married girls under 15 years (%),0.0
2011,test,Married girls under 15 years (%),0.0
2012,test,Married girls under 15 years (%),0.0
2013,test,Married girls under 15 years (%),0.0
2014,test,Married girls under 15 years (%),0.0
2015,test,Married girls under 15 years (%),0.0
2016,test,Married girls under 15 years (%),0.0
2017,test,Married girls under 15 years (%),0.0
2018,test,Married girls under 15 years (%),
2010,test,Married girls under 18 years (Number),225
2011,test,Married girls under 18 years (Number),213
2012,test,Married girls under 18 years (Number),214
2013,test,Married girls under 18 years (Number),245
2014,test,Married girls under 18 years (Number),321
2015,test,Married girls under 18 years (Number),880
2016,test,Married girls under 18 years (Number),700
2017,test,Married girls under 18 years (Number),318
2018,test,Married girls under 18 years (Number),
