Year,type of treatment,Value
2010,,100.0
2011,,100.0
2012,,100.0
2013,,100.0
2014,,100.0
2015,,100.0
2016,,100.0
2017,,100.0
2018,,100.0
2010,cooling water,68.3
2013,cooling water,60.3
2016,cooling water,59.7
2010,other wastewater that does not have to undergo treatment,4.4
2013,other wastewater that does not have to undergo treatment,5.5
2016,other wastewater that does not have to undergo treatment,5.7
2010,untreated wastewater that does not have to undergo treatment,72.7
2013,untreated wastewater that does not have to undergo treatment,65.8
2016,untreated wastewater that does not have to undergo treatment,65.4
