Year,timeseries,sex (all age groups),age (male and female),Unit measure,Value
2010,at-risk-of-poverty rate (according to eurostat definition),,,percentage (%),15.6
2011,at-risk-of-poverty rate (according to eurostat definition),,,percentage (%),15.8
2012,at-risk-of-poverty rate (according to eurostat definition),,,percentage (%),16.1
2013,at-risk-of-poverty rate (according to eurostat definition),,,percentage (%),16.1
2014,at-risk-of-poverty rate (according to eurostat definition),,,percentage (%),16.7
2015,at-risk-of-poverty rate (according to eurostat definition),,,percentage (%),16.7
2016,at-risk-of-poverty rate (according to eurostat definition),,,percentage (%),16.5
2017,at-risk-of-poverty rate (according to eurostat definition),,,percentage (%),16.1
2018,at-risk-of-poverty rate (according to eurostat definition),,,percentage (%),
2010,at-risk-of-poverty rate (according to eurostat definition),female,,percentage (%),16.4
2011,at-risk-of-poverty rate (according to eurostat definition),female,,percentage (%),16.8
2012,at-risk-of-poverty rate (according to eurostat definition),female,,percentage (%),17.2
2013,at-risk-of-poverty rate (according to eurostat definition),female,,percentage (%),17.2
2014,at-risk-of-poverty rate (according to eurostat definition),female,,percentage (%),17.4
2015,at-risk-of-poverty rate (according to eurostat definition),female,,percentage (%),17.4
2016,at-risk-of-poverty rate (according to eurostat definition),female,,percentage (%),17.8
2017,at-risk-of-poverty rate (according to eurostat definition),female,,percentage (%),17.1
2018,at-risk-of-poverty rate (according to eurostat definition),female,,percentage (%),
2010,at-risk-of-poverty rate (according to eurostat definition),male,,percentage (%),14.9
2011,at-risk-of-poverty rate (according to eurostat definition),male,,percentage (%),14.9
2012,at-risk-of-poverty rate (according to eurostat definition),male,,percentage (%),14.9
2013,at-risk-of-poverty rate (according to eurostat definition),male,,percentage (%),15.0
2014,at-risk-of-poverty rate (according to eurostat definition),male,,percentage (%),15.9
2015,at-risk-of-poverty rate (according to eurostat definition),male,,percentage (%),15.9
2016,at-risk-of-poverty rate (according to eurostat definition),male,,percentage (%),15.2
2017,at-risk-of-poverty rate (according to eurostat definition),male,,percentage (%),15.0
2018,at-risk-of-poverty rate (according to eurostat definition),male,,percentage (%),
2010,at-risk-of-poverty rate (according to eurostat definition),,17 years and under,percentage (%),17.5
2011,at-risk-of-poverty rate (according to eurostat definition),,17 years and under,percentage (%),15.6
2012,at-risk-of-poverty rate (according to eurostat definition),,17 years and under,percentage (%),15.2
2013,at-risk-of-poverty rate (according to eurostat definition),,17 years and under,percentage (%),14.7
2014,at-risk-of-poverty rate (according to eurostat definition),,17 years and under,percentage (%),15.1
2015,at-risk-of-poverty rate (according to eurostat definition),,17 years and under,percentage (%),14.6
2016,at-risk-of-poverty rate (according to eurostat definition),,17 years and under,percentage (%),15.4
2017,at-risk-of-poverty rate (according to eurostat definition),,17 years and under,percentage (%),15.2
2018,at-risk-of-poverty rate (according to eurostat definition),,17 years and under,percentage (%),
2010,at-risk-of-poverty rate (according to eurostat definition),,18 to under 65 years,percentage (%),15.6
2011,at-risk-of-poverty rate (according to eurostat definition),,18 to under 65 years,percentage (%),16.4
2012,at-risk-of-poverty rate (according to eurostat definition),,18 to under 65 years,percentage (%),16.6
2013,at-risk-of-poverty rate (according to eurostat definition),,18 to under 65 years,percentage (%),16.9
2014,at-risk-of-poverty rate (according to eurostat definition),,18 to under 65 years,percentage (%),17.2
2015,at-risk-of-poverty rate (according to eurostat definition),,18 to under 65 years,percentage (%),17.3
2016,at-risk-of-poverty rate (according to eurostat definition),,18 to under 65 years,percentage (%),16.4
2017,at-risk-of-poverty rate (according to eurostat definition),,18 to under 65 years,percentage (%),16.0
2018,at-risk-of-poverty rate (according to eurostat definition),,18 to under 65 years,percentage (%),
2010,at-risk-of-poverty rate (according to eurostat definition),,65 years and over,percentage (%),14.1
2011,at-risk-of-poverty rate (according to eurostat definition),,65 years and over,percentage (%),14.2
2012,at-risk-of-poverty rate (according to eurostat definition),,65 years and over,percentage (%),15.0
2013,at-risk-of-poverty rate (according to eurostat definition),,65 years and over,percentage (%),14.9
2014,at-risk-of-poverty rate (according to eurostat definition),,65 years and over,percentage (%),16.3
2015,at-risk-of-poverty rate (according to eurostat definition),,65 years and over,percentage (%),16.5
2016,at-risk-of-poverty rate (according to eurostat definition),,65 years and over,percentage (%),17.6
2017,at-risk-of-poverty rate (according to eurostat definition),,65 years and over,percentage (%),17.0
2018,at-risk-of-poverty rate (according to eurostat definition),,65 years and over,percentage (%),
