Year,Units,Value
2010,municipal waste recycled (t),30774
2011,municipal waste recycled (t),31633
2012,municipal waste recycled (t),32460
2013,municipal waste recycled (t),31629
2014,municipal waste recycled (t),33544
2015,municipal waste recycled (t),34453
2016,municipal waste recycled (t),34958
2017,municipal waste recycled (t),34783
2018,municipal waste recycled (t),
2010,national recycling rate of municipal waste (%),62.5
2011,national recycling rate of municipal waste (%),63.0
2012,national recycling rate of municipal waste (%),65.2
2013,national recycling rate of municipal waste (%),63.8
2014,national recycling rate of municipal waste (%),65.6
2015,national recycling rate of municipal waste (%),66.7
2016,national recycling rate of municipal waste (%),67.1
2017,national recycling rate of municipal waste (%),67.2
2018,national recycling rate of municipal waste (%),
