Year,Units,timeseries,indicator,Value
2010,,genderparityindexof,sdg indicator 4-2-2,1.0
2011,,genderparityindexof,sdg indicator 4-2-2,1.01
2012,,genderparityindexof,sdg indicator 4-2-2,1.0
2013,,genderparityindexof,sdg indicator 4-2-2,1.01
2014,,genderparityindexof,sdg indicator 4-2-2,1.01
2015,,genderparityindexof,sdg indicator 4-2-2,1.01
2016,,genderparityindexof,sdg indicator 4-2-2,1.01
2017,,genderparityindexof,sdg indicator 4-2-2,1.0
2018,,genderparityindexof,sdg indicator 4-2-2,1.0
2010,,genderparityindexof,sdg indicator 4-3-1 (adults),0.93
2011,,genderparityindexof,sdg indicator 4-3-1 (adults),0.92
2012,,genderparityindexof,sdg indicator 4-3-1 (adults),0.94
2013,,genderparityindexof,sdg indicator 4-3-1 (adults),0.95
2014,,genderparityindexof,sdg indicator 4-3-1 (adults),0.95
2015,,genderparityindexof,sdg indicator 4-3-1 (adults),0.95
2016,,genderparityindexof,sdg indicator 4-3-1 (adults),0.94
2017,,genderparityindexof,sdg indicator 4-3-1 (adults),0.95
2010,,genderparityindexof,sdg indicator 4-3-1 (youth),1.02
2011,,genderparityindexof,sdg indicator 4-3-1 (youth),1.03
2012,,genderparityindexof,sdg indicator 4-3-1 (youth),1.02
2013,,genderparityindexof,sdg indicator 4-3-1 (youth),1.01
2014,,genderparityindexof,sdg indicator 4-3-1 (youth),1.01
2015,,genderparityindexof,sdg indicator 4-3-1 (youth),1.01
2016,,genderparityindexof,sdg indicator 4-3-1 (youth),1.01
2017,,genderparityindexof,sdg indicator 4-3-1 (youth),1.02
